,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
475,Skikda,36.879722,6.913333,7.4,24.5,1.63,14.5,450,1.45,0-30
476,Skikda,,,,,,,,,
477,Skikda,36.8704,6.9156,7.8,23.5,3.5,30.5,0.45,1.35,0-30 cm
478,Relizane,35.7256,0.5514,7.5,4.15,2.14,10.2,0.25,1.3,86m
479,,36.72,4.05,6.18,10.2,26.7,15.6,0.24,1.4,0-30 cm
480,Tizi-Ouzou,36.7167,4.05,7.4,14.5,2.56,24.6,0.38,1.35,0-30 cm
481,,36.65,5.9333,7,0,,,,,0-100 cm
482,Medea,36.2667,2.7667,7.85,23.43,2.61,14.53,0.43,1.55,0-30 cm
483,,36.7167,4.05,,,,,,,0-100 cm
484,Relizane,35.73,0.56,8.15,22.5,1.12,12.2,0.43,1.43,0-20 cm
485,Relizane,35.73,0.55,"{'P1H1': 5.9, 'P1H2': 5.4, 'P8H1': 6.6, 'P8H2': 6.3, 'P13H1': 6.6, 'P13H2': 6.2, 'P13H3': 5.8, 'P13H4': 6.0, 'P17H1': 6.4, 'P17H2': 6.5, 'P17H3': 6.3}",{},{},"{'P1H1': 5.0, 'P1H2': 1.9, 'P8H1': 7.6, 'P8H2': 8.5, 'P13H1': 8.6, 'P13H2': 8.7, 'P13H3': 9.8, 'P13H4': 10.0, 'P17H1': 4.6, 'P17H2': 3.5, 'P17H3': 3.9}",{},"{'P1H1': 1.39, 'P1H2': 1.44, 'P8H1': 1.18, 'P8H2': 1.34, 'P13H1': 1.36, 'P13H2': 1.37, 'P13H3': 1.36, 'P13H4': 1.37, 'P17H1': 1.29, 'P17H2': 1.33, 'P17H3': 1.38}","{'P1': '0-30 cm, 30-90 cm', 'P8': '0-30 cm, 30-85 cm', 'P13': '0-30 cm, 30-55 cm, 55-80 cm, 80-100 cm', 'P17': '0-30 cm, 30-70 cm, 70-110 cm'}"
486,,36.7239,4.0453,,,26.7,,,,"0-30 cm, 30-90 cm, 30-85 cm, 30-55 cm, 55-110 cm, 70-80 cm, 80-100 cm"
487,Medea,36.247,2.802,8.1,22.5,2.3,15.6,0.23,1.35,30-100 cm
488,,36.533333,4.05,7.79,91,2,0.83,0.03,0.47,0-30 cm
489,Skikda,,,,,,,,,1 metre
490,Skikda,,,,,,,,,"0-30 cm, 30-60 cm"
491,Skikda,37.005278,6.904722,7.8,21.5,2.2,15.2,0.25,1.5,0-30
492,Skikda,36.85,6.9,7.4,17.7,2.2,29.4,0.35,1.65,0-30 cm
493,Annaba,,,,,,,,"[1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.38, 1.4]","['0-30 cm', '0-60 cm']"
494,Skikda,,,,,,,,,0-60 cm
495,Skikda,36.8667,6.9,,,,,,,"30 cm, 60 cm, 1 m"
496,Skikda,37.0453,6.9144,7.5,35,2.4,20,0.4,1.2,0-30 cm
497,Relizane,35.7333,0.55,8.42,240,1.23,15.4,0.14,1.35,0-30 cm
498,,34.8239,0.1478,8.14,21.4,1.82,15.3,0.114,1.51,0-20 cm
499,Relizane,35.733333,0.533333,8.33,36.8,1.32,12.8,0.48,1.45,0-30 cm
500,Medea,36.2637,2.751,8.2,240,2.3,24,240,1.4,0-30 cm
501,Skikda,36.8667,6.9,5.91,26.75,1.16,23.09,7.25,1.39,30
502,Skikda,,,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,30-100 cm
503,Skikda,37.1353,6.9047,7.8,11.4,2.5,18.2,0.23,1.55,0-30 cm
504,Annaba,36.8333,7.75,8.1,42.3,2.5,15.2,0.35,1.45,0-30 cm
505,,36.72,4.05,7.21,12.4,2.53,26.4,0.43,1.32,0-20 cm
506,Skikda,,,,,,,,,"0-60 cm, 30-100 cm"
507,Skikda,,,,,,,,,
509,Skikda,36.8667,6.9,8.1,221,1.8,24.6,0.12,1.3,0-30 cm
510,Tlemcen,34.88,,8.14,14.2,1.82,14.56,210,1.42,0-20 cm
511,Tiaret,35.37,1.32,8.23,12.34,2.15,25.6,0.43,1.42,0-20 cm
512,,34.6789,3.2567,8.2,24.5,1.8,20.1,0.45,1.6,0-20 cm
513,,36.7167,4.05,7.5,,,,,,
522,Batna,,,,,,,,,
523,Setif,,,,,,,,,
524,Alger,36.7464,3.0389,7.8,10.2,2.4,20.5,1800,1.3,0-20 cm
525,Ghardaia,322924.809,34025.828,,,,,,,
529,,36.7667,3.4667,7.65,,6.6,,0.582,,
531,Alger,36.7667,3.05,,,,,,,
532,Batna,35.5593,6.1713,7.09,13,9,10,10,13,0-30
537,Tipaza,36.583333,2.45,7.82,23.49,1.12,26.11,0.43,1.58,0-20 cm
538,Tiaret,35.31,1.47,7.95,32.5,1.35,14.2,0.39,1.4,0-20
539,Tiaret,35.383333,1.316667,8.2,31.5,1.35,14.2,0.35,1.45,0-30 cm
544,,36.7167,4.05,7.5,20.5,2.3,12.1,0.45,1.6,0-20 cm
545,,36.7167,4.05,7.82,11.2,2.15,14.7,0.28,1.35,0-30 cm
547,Tiaret,,,,,,,,,20-30cm
548,Tiaret,,,7.66,25.6,1.43,11.5,1.31,1.37,0-30 cm
549,,33.6955,1.0453,8.76,7,1.39,,650,,
550,Tipaza,,,,,,,,,
551,,36.7173,4.0495,8.1,12.5,2.5,20,4,1.5,20
552,Mostaganem,35.9153,0.0922,8.12,23.45,1.25,21.12,1.58,1.42,0-20 cm
553,,35.9333,1.6333,8.4,34.2,1.8,12.6,2.2,1.4,0-30
555,Tipaza,36.583333,2.45,8.55,24.1,2.21,14.1,1.45,1.45,0-30 cm
556,Tipaza,36.5753,2.4389,8.23,15.6,1.8,12.5,0.45,1.43,0-30 cm
558,,36.75,3.46,,16,,,7,,
559,Tipaza,36.5833,2.45,,,,,,,"50-80 cm, 130-150 cm"
561,Oran,35.6911,0.6364,,,,,"{'CEa-h': 0.25, 'CEa-v': 0.35, 'Max CEa-h': 1.1, 'Min CEa-h': 0.0, 'Max CEa-v': 1.23, 'Min CEa-v': 0.0}",,1m
562,Tipaza,36.583333,2.416667,7.5,3.45,0.96,20.1,0.72,1.45,1m and 2m
563,Relizane,,,,,,,0.59,,1m
564,Tipaza,36.65,2.95,,,,,2,,
567,,36.7167,4.05,7.3,12.5,2.1,21.6,0.33,1.4,0-20 cm
568,Tlemcen,,,,,,,,,
569,Medea,36.2667,3.0833,7.8,23.5,1.8,15.6,0.32,1.4,0-30 cm
570,,36.71,4.05,7.8,35,2.5,15,0.4,1.5,0-30 cm
571,,36.7167,4.05,7.8,200,2.5,20,0.5,1.5,0-20 cm
572,,36.7167,4.05,7.42,220,2.5,15.6,0.24,1.45,0-20 cm
573,Biskra,34.85,5.73,8.23,23.4,1.23,12.5,0.42,1.35,0-20 cm
574,Tlemcen,,,,,,,,,
575,Tlemcen,34.8906,-1.3147,7.12,341,2.45,20.6,0.55,1.45,0-30 cm
576,Tlemcen,,,6.8-7.2,2,Not mentioned,Not mentioned,<2.5 mmhos/cm and 0.3 mmhos/cm,Not mentioned,"{'profil 1': '0-5cm, 5-10cm, 10-25cm, 25-50cm, >50cm', 'profil 2': '0-20cm, 20-50cm, >50cm', 'profil 3': '0-2cm, 2-10cm'}"
577,Tlemcen,,,,,,,,,
578,Tlemcen,34.88,-1.31,7.39,23.15,2.45,15.32,0.42,1.45,0-30 cm
579,Tlemcen,3451.0,,,,,,,,1100
580,,36.7167,4.05,7.4,23.4,3.5,15.2,0.28,1.42,0-30 cm
581,Bejaea,36.75,5.07,,,,,,,
583,Tlemcen,,,,,,,,,
584,Guelma,36.4667,7.4333,7.4,14.5,1.4,12.5,0.2,1.6,0-20 cm
585,,35.393333,1.133333,7.4,23.6,1.6,12.4,0.12,1.4,0-30 cm
587,Annaba,36.9,7.75,7.4,250,2.4,24,0.24,1.43,0-20 cm
589,Tlemcen,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
590,,36.7167,4.05,7.4,14.5,2.1,18.3,0.43,1.35,20
591,Tlemcen,34.8828,,8,60,3.5,20,2.5,1.5,0-20 cm
592,Setif,36.19,4.98,7.45,42500,10.64,15.5,16.02,18.97,20-30 cm
593,Tlemcen,34.8833,1.3167,7.4,25.8,2.3,14.5,0.45,1.4,0-20 cm
594,Tlemcen,34.8823,-1.3174,8.23,43.6,2.34,24.3,0.43,1.42,0-30 cm
595,Tlemcen,,,not found,not found,not found,not found,not found,not found,not found
596,Tlemcen,3452.0,117.0,,,,,,,
597,Ain Temouchent,35.2833,,7.8,23.4,1.45,24.1,0.45,1.3,0-30 cm
598,,36.7189,4.0453,7.8,32.1,1.4,15.6,0.45,1.3,0-30 cm
599,Medea,36.2667,2.75,6.2-8.6,,,,,,
601,Tlemcen,34.8914,,6.5,20.5,2.1,15.3,0.4,1.5,Au niveau du systeme racinaire de caroubier
603,Mostaganem,35.9333,0.0833,6.89,,,,,,
604,Tlemcen,35.0,37.0,6.89,41.56,21.87,12,10 R5/4,0.195,10
605,,36.7167,4.05,7.2,10.26,2.1,12.8,0.14,1.42,0-30 cm
606,Tlemcen,,,,,,,,,
607,Tlemcen,34.88,1.31,7.2,25,2.5,25,29,1.35,0-30 cm
608,Tlemcen,34.8845,,7.8,15.6,2.12,14.7,0.38,1.45,0-30 cm
609,,36.7167,4.05,7.4,20,10,15,1.2,1.5,0-20 cm
610,Tlemcen,,,,,,,,,
612,Tlemcen,34.88,-1.32,7.8,22.4,2.1,15.2,0.35,1.35,0-30 cm
613,Tlemcen,,,,,,,,,
614,Tiaret,35.3833,2.25,7.85,10.1,1.1,14.5,250,1.35,0-30 cm
615,,36.7167,4.05,7.4,10.5,2.5,12.5,450,1.3,0-30 cm
616,Tlemcen,34.89,-1.31,7.8,23.8,2.1,14.1,0.48,1.4,0-20 cm
617,Ain Temouchent,35.3232,,7.8,20,3.2,15,0.5,1.3,20 cm
618,Tlemcen,,,10.5,19.6,32.6,,,1.55,11-15 cm
619,Tlemcen,34.67,1.97,7.39,43.89,12.7,40.86,30.55,1.7,45 cm
620,Tlemcen,34.883333,-1.316667,5.22,949,307,474,10,5.949,Superficial
621,Bejaea,36.75,5.05,7.5,84.99,2.0,26.8,336.69,1.57,0-30 cm
622,Tlemcen,34.6,1.19,7.4,12.6,1.07,12.2,3.5,1.3,10-30 cm
623,Medea,36.2667,2.75,7.8,34,9,16,2.7,1.5,40 cm
624,,36.7167,4.05,8.3,10.7,0.08,11.1,0.7,1.07,0-10 cm
625,,36.75,5.08,7.96,15.4,2.18,14.2,1.34,1.42,0-20 cm
626,,36.75,3.05,7.69,14.5,1.27,21.4,0.38,1.55,0-20 cm
627,Tlemcen,34.883333,1.316667,7.7,17.2,1.8,26.5,0.45,1.35,0-20 cm
629,,36.7167,4.05,7.8,34.2,2.4,21.6,0.43,1.45,0-30 cm
630,Tlemcen,,,,,,,,,10-20 cm
631,Tlemcen,34.88,,,,,,,,
632,Batna,35.55,6.16,6.6,0.3,,,,,5 cm
633,Tiaret,35.3833,1.3167,"{'Sol 1': 7.33, 'Sol 2': 7.47, 'Sol 3': 7.44, 'Sol 4': 7.49}","{'Sol 1': 11.03, 'Sol 2': 18, 'Sol 3': 7, 'Sol 4': 12}",{},{},{},{},{}
634,Tipaza,,,7,54,39,61,0.11,2,0-15 cm
635,Tlemcen,,,,,,,,,
636,,36.733333,4.05,7.3,23.1,2.5,15.3,0.23,1.45,0-30cm
637,Medea,36.2677,2.75,7.92,34.65,1.25,14.27,0.35,1.55,0-30 cm
639,Tiaret,35.38,1.82,7.4,14.2,1.8,24.5,0.25,1.35,0-20 cm
640,Djelfa,34.6742,3.2556,8.2,25.4,1.8,24.5,1.4,1.35,0-20 cm
641,Tlemcen,,,"{'0-30 cm': 8.9, '30-50 cm': 8.0, '50-80 cm': 7.92, '80-120 cm': 7.78}","{'0-30 cm': 24.8, '30-50 cm': 23.2, '50-80 cm': 21.2, '80-120 cm': 22.4}","{'0-30 cm': 1.96, '30-50 cm': 1.53, '50-80 cm': 0.68, '80-120 cm': 0.65}","{'0-30 cm': 6.86, '30-50 cm': 6.72, '50-80 cm': 11.6, '80-120 cm': 14.3}","{'0-30 cm': 1.4, '30-50 cm': 1.7, '50-80 cm': 1.87, '80-120 cm': 2.87}",,"{'0-30 cm': 30, '30-50 cm': 20, '50-80 cm': 30, '80-120 cm': 40}"
642,Tlemcen,34.8833,-1.3167,7.8,40.6,2.63,12.18,1.36,,0-35 cm
643,Tlemcen,34.8913,,7.95,19.53,1.89,12.27,3.66,,0-20 cm
644,Tlemcen,34.8833,-1.3167,8,13,3.12,14.14,1.85,,0-20 cm
645,,36.72,4.05,7.4,34.5,2.1,23.4,0.22,1.35,0-30 cm
646,Tiaret,35.3772,1.1075,8.2,20.97,1.83,10.29,54.49,8.39,Not specified
649,Relizane,35.733333,0.55,8.19,18,1.8,10.5,2.1,1.34,Not specified 
650,Guelma,36.45,7.45,,24.7,1.82,10.64,,,
652,Medea,35.8801,2.7543,8.3,10.2,1.8,17.1,0.15,1.35,0-30 cm
653,Tiaret,35.3833,1.8667,7.8,24.4,1.4,15.6,0.43,1.4,0-20 cm
654,Constantine,36.3658,6.6133,7.5,23,2.5,15,0.5,1.6,horizon de surface
655,Tlemcen,,,Not available,Not available,Not available,Not available,Not available,Not available,Not provided
656,Tlemcen,34.95,1.4333,8.4,45,2.3,30,0.55,1.4,35 cm < accumulation calcaire < 120 cm
657,Guelma,36.4667,7.4333,8.1,42.5,10.2,25.6,1.25,1.3,0-20 cm
658,Batna,35.55,6.17,8.5,23,1.8,20,0.45,1.35,0-30cm
659,Guelma,36.461389,7.433333,8.23,23.1,2.1,14.2,0.23,1.5,0-20 cm
661,Guelma,,,,,,,,,
662,Mitidja,36.65,2.93,8.3,45.2,1.9,45.1,0.83,1.45,0-30 cm
663,Mitidja,,,Not mentioned,Not mentioned,2,Not mentioned,Not mentioned,Not mentioned,Not mentioned
665,Mitidja,,,,< 7 %,,,,,
667,Alger,,,,,,,,,120 cm
668,Mitidja,,,,,,,,,0-60 cm
669,Alger,,,,,,,,,
670,Alger,,,0,3,3.9,30,0,0,65-90 cm
671,Mitidja,,,7.8,5-10,2.5-1.8,26,<1.73,,120-130 cm
672,Mitidja,,,Not provided in the resume,Not provided in the resume,Not provided in the resume,Not provided in the resume,Not provided in the resume,"{'P1': {'0-20 cm': 1.6, '20-40 cm': 1.7, '40-60 cm': 1.8}, 'P2': {'0-20 cm': 1.6, '20-40 cm': 1.7, '40-60 cm': 1.8}, 'P3': {'0-20 cm': 1.6, '20-40 cm': 1.7, '40-60 cm': 1.8}}","{'P1': ['0-20 cm', '20-40 cm', '40-60 cm'], 'P2': ['0-20 cm', '20-40 cm', '40-60 cm'], 'P3': ['0-20 cm', '20-40 cm', '40-60 cm']}"
673,Mitidja,,,not provided,not provided,not provided,not provided,not provided,not provided,not provided
674,Mitidja,,,not provided,not provided,2.6,28.56,not provided,not provided,0-40 cm
675,Bouira,36.383333,4.05,8.97,11.44,2.26,27,4.83,4.96,0-100 cm
676,Mitidja,,,,8.01,2.0,29.0,,,"multiple depths (0-40 cm, 40-60 cm, 60-80 cm, 80-100 cm)"
677,Mitidja,,,0,5,0,26,0,0,
679,Biskra,34.8464,5.7442,8.2,54.3,1.6,16.5,1.1,1.4,0-30 cm
680,Biskra,34.85,5.75,8.5,35.4,1.4,18.4,2.8,1.4,0-30 cm
681,,31.9519,5.3286,8.45,23.6,1.8,14.2,2.15,1.35,0-30 cm
683,,32.48,3.8,8.3,12.4,0.6,6.5,2.5,1.45,0-30 cm
684,Biskra,34.8575,5.7356,,,,,,,
685,Biskra,34.85,5.73,,,,,,,
686,Biskra,34.85,5.75,8.45,24.5,1.82,25.1,1.35,1.45,0-30 cm
687,Biskra,,,,,,,,,
688,Biskra,34.85,5.75,,,,,,,"0-10, 10-40, 40-70 cm"
689,,34.7167,6.2667,7,,0.5,40.8,,,28-45 cm
690,Biskra,,,7.03,38.31,0.95,41.6,1.0,,0-10 cm
692,Batna,,,7.13,20.0,1.4,36.48,4.22,1.55,0-10 cm
693,Biskra,,,7.9,21.0,0.38,12.8,2.33,,0 - 10
694,Biskra,,,7.7,12.6,0.3,17.6,2.56,,10 - 40
695,Biskra,,,7.45,14.8,0.3,24.0,2.5,,40 - 70
697,Ain Defla,36.233333,2.233333,7.9,24.75,1.43,7.2,0.43,,0-10
698,Biskra,,,7.14,39.0,0.78,35.2,3.88,,0 - 10
699,Batna,,,7.82,42.0,1.96,40.0,3.9,,0 - 10
702,Biskra,34.85,5.73,7,,,,,,
703,Biskra,34.85,5.73,7,20,1.4,10,5,1.5,0-40
704,,31.95,5.33,8.5,10,1.5,20,2,1.6,"0-10 cm, 10-40 cm, 40-70 cm"
706,Biskra,34.85,5.75,,,,,,,
708,Oum El Bouaghi,35.8667,6.3167,8.21,35.2,1.42,22.1,0.45,1.65,0-30 cm
709,,35.3717,0.6033,8.03,14.41,0.81,7.93,2.74,,0-110 cm
710,Ghardaia,32.38,3.67,7,15,2.5,10,4.5,1.6,0-30
711,Bordj Bou Arreridj,36.0544,4.7619,7.6,20.6,1.83,14.5,0.55,1.55,0-30 cm
712,Bordj Bou Arreridj,,,,,,,,,
713,Bordj Bou Arreridj,,,8.1,46.42,2.38,,,,
714,Constantine,36.3654,6.6133,8.12,15.3,1.24,24.17,0.53,1.45,0-20 cm
715,,35.4667,7.1333,,,,,,,
716,Batna,35.5333,6.1667,7.8,240,1.4,25,0.2,1.4,0-30 cm
717,Constantine,36.36,6.62,,,,,,,
718,Constantine,36.3625,6.6125,,,,,,,
719,Constantine,36.3519,6.6122,8.1,23.5,1.8,14.1,0.25,1.55,0-30
720,Batna,,,,,,,,,
721,Batna,35.533333,6.166667,7.4,24.5,1.8,14.6,0.24,1.4,0-30 cm
722,Batna,35.55,6.17,7.8,20,1.6,15,0.3,1.4,0-30 cm
723,Constantine,,,,,,,,,0-50cm
724,Oum El Bouaghi,35.85,7.45,7.5,45.6,1.65,21.4,0.34,1.45,0-18cm
726,,35.7167,6.9167,8.2,14.5,1.4,14.3,0.14,1.43,0-30 cm
727,Wilaya of Constantine,36.3619,6.6122,7.6,,,,,,2-10 m
728,Wilaya de Constantine,36.3415,6.6143,,,,,,,
729,Constantine,36.35,6.62,8.2,21.5,2.1,24.8,0.44,1.45,0-30 cm
730,Wilaya de Constantine,36.35,6.62,8.5,40,2.5,20,2,1.4,120 cm
731,Oum El Bouaghi,35.8747,7.1122,7.6,12.4,1.23,33.23,0.46,1.4,0-30 cm
732,Constantine,,,,,,,,,
733,Berriche,,,Not specified,>=30%,<1.1% or 1.1%,Not specified,<1.6 dS/m or 0.3 dS/m to 0.6 dS/m,Not specified,Not specified
734,Wilaya de Kais,,,,,,,,,"[{'profile': 'KA', 'depth': '0-30 cm'}, {'profile': 'KA', 'depth': '30-100 cm'}, {'profile': 'KA', 'depth': '>100 cm'}, {'profile': 'KB', 'depth': '0-10 cm'}, {'profile': 'KB', 'depth': '10-30 cm'}, {'profile': 'KB', 'depth': '30-40 cm'}]"
735,Berriche,,,Not mentioned,>25%,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"{'0-25 cm': {'description': ""Limon-argileux, marron clair (7,5 YR 4/4), polyedrique moyenne, peu compact, non cimente, tres poreux, racines nombreuses et fines, cailloux <5%, bon drainage, tres forte effervescence e l'HCl""}, '25-50 cm': {'description': ""Argilo-limoneuse, marron clair (7,5 YR 4/4), polyedrique moyennement fine, legerement coherent, non cimente, moderement compact, tres poreux, moyennement permeable, faibles racines, bon drainage, tres forte effervescence e l'HCl""}, '50-100 cm': {'description': ""Argileux, marron clair (7,5 YR 4/4) polyedrique, coherent, compact, moyennement cimente, poreux, bon drainage, forte effervescence e l'HCl""}, '>100 cm': {'description': 'Niveau argileux fortement compact sur colluvions calcaires'}}"
736,Oum El Bouaghi,35.4333,6.4667,8.4,16% - 29%,2.15,>25 me/100g,0.56 ms/cm,1.3 g/cme,0-100 cm
737,Batna,,,,,,,,,"{'0-30 cm': {'description': ""Argileux, marron clair (10 YR 5/3) en sec, polyedrique moyenne e grossiere, porosite moyenne, consistance faible, peu cimente, faibles racines, legers cailloux (2%-5%), bon drainage, effervescent e l'HCl. Transition reguliere et graduelle.""}, '30-100 cm': {'description': ""Argileux, marron fonce (10 YR 3/3), polyedrique grossiere, faible porosite, compact, faibles racines, bon drainage, effervescent e l'HCl.""}, '> 100 cm': {'description': 'Niveau argilo-marneux compact.'}}"
738,Batna,35.5317,6.1743,8.4,47.3,1.52,21.4,0.34,1.45,50-150 cm
739,Constantine,36.3572,6.6139,8,46,,75,2.6,,"{'AB': '10-25 cm', 'B1': '25-50 cm', 'B2': '50-100 cm', 'C': '>100 cm', 'Aca': '0-5 cm', 'Bca': '5-30 cm', 'Cca': '>30 cm'}"
740,Constantine,36.3597,6.5973,7.5-8.8,>30,2,,2-4 dS/m and 4-16 dS/m,,30-120 cm
741,Constantine,,,,,,,,,
742,Constantine,36.3597,6.6125,8.45,15.8,1.45,22.5,1.85,1.35,0-30 cm
743,Batna,35.55,6.1667,,,,,,,
744,Batna,35.5333,6.1667,7.8,15.6,1.4,20.4,0.23,1.35,0-30 cm
745,Constantine,,,,36,1.4,,,,50-90cm
746,Constantine,,,,32.4,,45,,,80
747,Constantine,36.3659,6.6145,,,1.5,,,,
748,Constantine,36.347466,6.611111,,,,,,,
749,Constantine,36.35,6.6,7.83,780.9,1944.1,30.94,387.6,149.9,not provided
750,Batna,35.55,6.16,,,,,,,
752,Constantine,36.36,6.62,8.2,10.8,1.5,25.2,0.45,1.55,0-30 cm
753,Constantine,36.3576,6.6167,8.24,14.5,2.1,21.4,0.32,1.43,0-30 cm
754,Constantine,36.3653,6.6125,,,,,,,
755,Constantine,36.3472,6.6125,8.2,15.3,1.8,17.4,0.45,1.45,0-20 cm
756,Batna,35.55,6.17,,,,,,,
757,Constantine,36.6333,6.6167,7.4,18.8,1.2,21.6,0.38,1.45,0-30 cm
758,Constantine,36.36,6.62,7.35-8.5,22-39,<1.6,25-45,3.8,,
759,Constantine,36.3658,6.6139,7.4,20,1.15,20,,,50cm
760,Berriche,36.6667,4.3333,0,0,1.4,25,0,0,0
761,Constantine,36.36,6.6,7.7,23.4,2.8,24.8,0.32,1.42,0-30 cm
762,Constantine,36.362399,6.612599,8.3,12.6,1.2,13.8,0.3,1.45,0-20 cm
763,Batna,35.55,6.16,7.5,30.2,1.2,12.5,0.12,1.35,0-30
764,Constantine,36.35,6.62,,,,,,,<40cm
765,Constantine,36.35,6.62,7.5,2.5,1.8,20,0.32,1.55,0-30 cm
766,Berriche,,,,,,,,,
767,Wilaya de Constantine,36.3781,6.6203,,,,,,,
768,Constantine,36.3619,6.6125,7.5,23,1.4,25,0.45,1.6,0-30
769,Berriche,35.6597,4.8603,,,,,,,
770,Constantine,36.4433,6.6333,8.2,25.4,1.8,14.2,0.28,1.45,0-30 cm
772,Constantine,36.3597,6.6139,,,,,4,,
774,Relizane,35.7333,0.55,7.92,35.44,0.76,15.63,1.69,1.33,0-20 cm
775,Relizane,35.733333,0.566667,8.42,34.12,1.24,14.56,2.15,1.45,0-30 cm
776,Relizane,,,,,,,,,
778,Relizane,35.733333,0.533333,,15,,16,,,
779,Relizane,,,,,,,,,
782,Relizane,,,7.83,23.62,,,30.27,,
783,Mostaganem,35.9333,0.0833,8.15,28.5,1.32,14.8,2.38,1.43,0-30 cm
784,Relizane,35.44,0.49,6,30.1,23.55,21.1,34.7,27.9,Not explicitly mentioned 
785,Relizane,35.736389,0.553333,8.24,40.1,1.23,21.4,1.35,1.62,0-30 cm
786,Ain Temouchent,35.3,1.2,7.3,34.5,1.8,26.1,0.8,1.5,30
788,Annaba,36.9,7.7,8.12,34.9,1.42,21.3,1.14,1.65,0-50 cm
789,Relizane,,,Not provided,"{'Min': 14.4, 'Max': 23.51}",Not provided,Not provided,Not provided,Not provided,Multiple values (0-150 cm)
790,Relizane,,,7.18,,,18.32,41.5,,
791,Relizane,,,4.91,20,7.89,22.02,14.53,not provided,not provided
792,Relizane,,,"[7.5, 8.1, 8.2, 7.44, 7.95, 7.69, 7.5, 8, 7.66, 7.85, 8.2, 7.96, 8.16, 8.1, 7.89, 7.74, 7.93, 8.15, 8.1]",,,,"[25.2, 74.8, 91.6, 136.3, 164.8, 28.1, 138.4, 164.2, 69.6, 60, 54.1, 64.8, 47.9, 49.2, 21.2, 9.24, 152.2, 71.2, 61, 63.41]",,
794,Relizane,,,,,,,0.98,,
795,Relizane,35.7333,0.6333,7.68,5.28,0.47,20.83,6.55,1.49,Not specified
796,Relizane,35.733333,0.933333,7.88,1082.64,520.9,909.63,1067.7,551.83,not specified
797,Relizane,,,,,,,"[4.73, 122.5]",,
798,Relizane,35.7333,0.5333,7.15,,,,140,,Surface
799,Relizane,35.733333,0.55,7.8,,,,8.2,,
800,Relizane,35.7333,0.55,,,,,,,
801,Relizane,,,,,,,"{'Profil 1': {'Saison humide': None, 'Saison seche': None}, 'Profil 2': {'Saison humide': None, 'Saison seche': {'Horizon 4': 83.3, 'Horizon 5': 109.6}}, 'Profil 3': {'Saison humide': None, 'Saison seche': {'Horizon 1': 51.49, 'Horizon 2': 28.6}}, 'Profil 4': {'Saison humide': None, 'Saison seche': {'Horizon 2': 127.9, 'Horizon 3': 42.8, 'Horizon surface': -5.29}}}",,1.5 m
802,Relizane,35.733333,0.516667,,,,,40.38,,
803,Relizane,,,,,,,,,
804,Relizane,,,,,,,60 dS/m,,
805,Relizane,35.7333,0.6333,,,,,,,
806,Relizane,,,,,,,,,
807,Relizane,35.75,0.55,8.2,23.4,1.2,15,2.1,1.6,0-20 cm
808,Biskra,,,8.15,34.21,1.82,20.85,2.25,1.81,30-50 cm
811,Tebessa,35.4167,8.1667,8.33,34.14,1.4,12.5,0.36,1.55,0-30 cm
812,Tiaret,35.3833,1.3167,8.8,1439.8,2.2,15.5,0.06,2.3,0-30 cm
813,,33.45,6.85,8.3,12.4,0.56,20.1,0.23,1.35,0-30 cm
814,Tlemcen,34.88,1.31,8.5,34.6,1.35,15.4,2.1,1.6,0-20 cm
815,Batna,35.55,6.16,7.8,12.4,1.45,15.2,0.15,1.25,0-30 cm
816,El-Hodna,,,,,,9.64,,,
817,Tebessa,35.4167,8.1167,8.5,20,30,100,120,1.6,20 cm
819,Ghardaia,32.3833,3.6667,7.6,43.6,0.63,23.5,0.31,1.63,0-30 cm
820,Bechar,31.6167,,8.23,10.25,0.16,20.5,1.45,1.65,0-20 cm
821,Tebessa,35.45,8.13,8.2,,,,,,Surface (A1 et A2)
822,Tindouf,27.6667,8.1333,8.15,45.05,1.85,15.22,1.51,1.75,0-30 cm
823,,32.48,3.67,8.1,10.2,1.5,15.1,1.2,1.6,0-20 cm
824,Batna,,,7.5,,,,,,0 e 110 cm
825,Tindouf,27.633333,-8.15,8.37,13.25,2.03,13.12,12.76,1.14,0-17 cm
826,,32.48,3.8,,14,,13,,,35 cm
827,Batna,35.617236,4.245944,,,,,6.04,,40 cm
828,Tamanrasset,22.7833,5.5333,7.93,13,4.44,13.02,2.87,1.68,3.6
829,Batna,,,,3,,,6.6,,80 cm
830,Touggourt,33.0858,6.0633,7.94,25,1.18,14.31,2.76,,0-9 cm
831,Mostaganem,35.9119,0.1239,7.84,21,,13.58,2.68,,"{'Bym1': 15, 'Bym2': 42, 'Bym3': 63, 'Bymg': 96}"
832,,33.45,6.83,7.98,21,0.58,16.86,65.9,1.6,15 cm
833,Tebessa,35.4333,8.1167,7.96,10,1.29,14.96,8.39,,>110 cm
834,Biskra,34.85,5.73,8.39,Not mentioned,Not mentioned,moyenne,4.76,Not mentioned,75 cm
